GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
BinTreeII_8192B_Y=112_2018-10-03:20:16:25/
cheney;22142.78;16618;6.230909;5
custom;8361.647;6922;2.392727;2
generated;6913.818;6832;1.914545;2
BinTreeII_8192B_Y=113_2018-10-03:20:16:33/
cheney;11096.31;11666;3.103918;3
custom;9747.37;8782;2.708688;2
generated;9174.164;8774;2.574106;2
BinTreeII_8192B_Y=114_2018-10-03:20:16:42/
cheney;15789.06;11890;4.376364;3
custom;9074.913;8005;2.585455;2
generated;7170.127;6999;2.034545;2
BinTreeII_8192B_Y=115_2018-10-03:20:16:52/
cheney;18673.86;13572;5.260116;4
custom;8935.391;5530;2.566474;2
generated;5784.555;4948;1.626204;1
BinTreeII_8192B_Y=116_2018-10-03:20:17:02/
cheney;14309.87;8267;4.046875;2
custom;7130;5804;2.097656;2
generated;5620.445;5661;1.621094;2
BinTreeII_8192B_Y=117_2018-10-03:20:17:10/
cheney;10525.76;7878;2.920721;2
custom;7026.577;6866;1.987387;2
generated;7854.494;7054;2.2;2
BinTreeII_8192B_Y=118_2018-10-03:20:17:19/
cheney;16821.46;13460;4.705467;4
custom;8646.84;7610;2.440917;2
generated;7638.928;7152;2.162257;2
BinTreeII_8192B_Y=119_2018-10-03:20:17:30/
cheney;19076.33;14234;5.30832;4
custom;12564.23;9038;3.517129;2
generated;7702.248;7582;2.154976;2
BinTreeII_8192B_Y=1_2018-10-03:19:58:57/
cheney;17427.89;13729;4.765;4
custom;13133.74;9948;3.656;3
generated;14641.74;12926;4.046;4
BinTreeII_8192B_Y=120_2018-10-03:20:17:39/
cheney;19350.2;12582;5.444068;4
custom;7701.139;6853;2.213559;2
generated;6968.108;6510;1.977966;2
BinTreeII_8192B_Y=121_2018-10-03:20:17:48/
cheney;9494.321;9938;2.656093;3
custom;7864.274;7716;2.253756;2
generated;8305.656;8202;2.312187;2
BinTreeII_8192B_Y=12_2018-10-03:20:00:47/
cheney;21767.5;14089;6.063889;4
custom;8032.858;7380;2.266667;2
generated;8652.311;8181;2.4;2
BinTreeII_8192B_Y=122_2018-10-03:20:17:58/
cheney;16483.85;12690;4.59164;4
custom;10660.13;8638;3.036977;2
generated;9399.759;9166;2.636656;2
BinTreeII_8192B_Y=123_2018-10-03:20:18:08/
cheney;22049.78;16194;6.146379;4
custom;8151.171;7952;2.312789;2
generated;8173.156;7760;2.298921;2
BinTreeII_8192B_Y=124_2018-10-03:20:18:18/
cheney;16741.05;12316;4.692557;3
custom;9979.741;7472;2.854369;2
generated;7591.327;7119;2.150485;2
BinTreeII_8192B_Y=125_2018-10-03:20:18:27/
cheney;12737.16;12120;3.542504;3
custom;9714.473;8470;2.737249;2
generated;9450.828;9354;2.616692;3
BinTreeII_8192B_Y=126_2018-10-03:20:18:37/
cheney;19617.93;14060;5.464678;4
custom;8496.204;7970;2.44427;2
generated;7793.372;8352;2.215071;2
BinTreeII_8192B_Y=127_2018-10-03:20:18:46/
cheney;12321.92;9524;3.438543;3
custom;9685.168;8204;2.723824;2
generated;8028.055;7420;2.241275;2
BinTreeII_8192B_Y=13_2018-10-03:20:00:57/
cheney;19364.8;13875;5.387006;4
custom;10684.17;7830;3.035311;2
generated;8834.246;8123;2.478814;2
BinTreeII_8192B_Y=14_2018-10-03:20:01:07/
cheney;19879.07;12459;5.512465;4
custom;9267.776;7743;2.612188;2
generated;10459.04;8477;2.921053;2
BinTreeII_8192B_Y=15_2018-10-03:20:01:17/
cheney;18720.22;14303;5.208447;4
custom;9674.172;7977;2.739782;2
generated;8826.608;8426;2.467302;2
BinTreeII_8192B_Y=16_2018-10-03:20:01:25/
cheney;13376.42;11426;3.70319;3
custom;9852.549;8668;2.760055;2
generated;10272.2;10052;2.84466;3
BinTreeII_8192B_Y=17_2018-10-03:20:01:35/
cheney;20771.55;14956;5.777328;4
custom;12334.02;8704;3.453441;3
generated;9196.486;8640;2.54386;2
BinTreeII_8192B_Y=18_2018-10-03:20:01:44/
cheney;19672.53;13098;5.47971;4
custom;9464.965;7579;2.672464;2
generated;8200.881;7755;2.281159;2
BinTreeII_8192B_Y=19_2018-10-03:20:01:53/
cheney;13401.45;11929;3.737069;3
custom;9387.948;9022;2.637931;3
generated;10547.64;10390;2.935345;3
BinTreeII_8192B_Y=20_2018-10-03:20:02:02/
cheney;18195.43;12744;5.097638;4
custom;9394.211;7866;2.637795;2
generated;7948.989;7496;2.225197;2
BinTreeII_8192B_Y=21_2018-10-03:20:02:12/
cheney;18509.54;11257;5.156805;3
custom;10364.39;7987;2.926036;2
generated;7962.18;7782;2.215976;2
BinTreeII_8192B_Y=2_2018-10-03:19:59:10/
cheney;21266.68;13670;5.883236;4
custom;13329.14;9262;3.69558;3
generated;12170.72;10432;3.376147;3
BinTreeII_8192B_Y=22_2018-10-03:20:02:22/
cheney;21966.25;14852;6.067821;4
custom;9284.733;8170;2.554113;2
generated;8805.215;8426;2.477633;2
BinTreeII_8192B_Y=23_2018-10-03:20:02:31/
cheney;15027.95;12160;4.193362;3
custom;10242.91;8806;2.877345;2
generated;9537.342;9260;2.63925;3
BinTreeII_8192B_Y=24_2018-10-03:20:02:40/
cheney;16829.25;11204;4.688995;3
custom;11786.14;8572;3.325359;2
generated;8024.715;7536;2.248804;2
BinTreeII_8192B_Y=25_2018-10-03:20:02:50/
cheney;19894.94;14051;5.570175;4
custom;9165.632;7600;2.593567;2
generated;8246.006;7980;2.314327;2
BinTreeII_8192B_Y=26_2018-10-03:20:02:59/
cheney;14921.03;12422;4.128411;3
custom;10278.09;8840;2.910112;3
generated;9496.283;8952;2.635634;3
BinTreeII_8192B_Y=27_2018-10-03:20:03:09/
cheney;17209.08;12110;4.796662;3
custom;10131.92;8012;2.872534;2
generated;10060.69;8118;2.787557;2
BinTreeII_8192B_Y=28_2018-10-03:20:03:19/
cheney;22969.26;14986;6.384926;4
custom;10139.1;8476;2.818304;2
generated;9735.844;9208;2.724092;3
BinTreeII_8192B_Y=29_2018-10-03:20:03:29/
cheney;13912.34;9429;3.875828;3
custom;11030.36;7623;3.142384;2
generated;9496.166;7800;2.68543;2
BinTreeII_8192B_Y=30_2018-10-03:20:03:38/
cheney;11527.57;9853;3.198052;3
custom;9790.451;8660;2.761364;2
generated;8747.185;8186;2.472403;2
BinTreeII_8192B_Y=31_2018-10-03:20:03:47/
cheney;19098.91;14090;5.344461;4
custom;10530;8040;2.959029;2
generated;8234.516;7746;2.333839;2
BinTreeII_8192B_Y=3_2018-10-03:19:59:20/
cheney;18793.21;12272;5.183653;4
custom;11042;8394;3.059536;2
generated;10110.2;9598;2.783047;3
BinTreeII_8192B_Y=32_2018-10-03:20:03:57/
cheney;19820.7;13475;5.5;4
custom;10601.79;8051;2.920391;2
generated;8683.182;8103;2.392458;2
BinTreeII_8192B_Y=33_2018-10-03:20:04:07/
cheney;22229.55;15256;6.194222;4
custom;8632.681;7730;2.430177;2
generated;8347.47;8064;2.322632;2
BinTreeII_8192B_Y=34_2018-10-03:20:04:15/
cheney;12322.38;10635;3.449686;3
custom;10793.47;9780;3.011006;3
generated;10010.12;9766;2.790881;3
BinTreeII_8192B_Y=35_2018-10-03:20:04:25/
cheney;20455.11;13839;5.669139;4
custom;12751.23;8923;3.575668;3
generated;8724.49;8225;2.446588;2
BinTreeII_8192B_Y=36_2018-10-03:20:04:34/
cheney;19957.41;13750;5.533145;4
custom;11314.27;8786;3.186178;2
generated;8634.973;8210;2.404795;2
BinTreeII_8192B_Y=37_2018-10-03:20:04:43/
cheney;12916.46;12077;3.616788;3
custom;9634.328;7338;2.722628;2
generated;8022.701;7493;2.237226;2
BinTreeII_8192B_Y=38_2018-10-03:20:04:52/
cheney;15768.54;11493;4.405;3
custom;9955.767;7628;2.808333;2
generated;8155.527;7708;2.273333;2
BinTreeII_8192B_Y=39_2018-10-03:20:05:02/
cheney;20705.8;13690;5.798374;4
custom;10288.93;7770;2.946341;2
generated;8051.815;7856;2.253659;2
BinTreeII_8192B_Y=40_2018-10-03:20:05:12/
